character,frequency,onyomi,kunyomi,jlpt,meaning
且,,ショ ソ ショウ,か.つ,1,moreover; also; furthermore
鰹,,ケン,かつお,,bonito
叶,2312,キョウ,かな.える かな.う,1,grant; answer
椛,,,かば もみじ,,autumn foliage; birch; maple; (kokuji)
樺,1982,カ,かば かんば,1,birch; dark red
鞄,,ハク ホウ ビョウ,かばん,,suitcase; bag; briefcase
株,432,シュ,かぶ,1,stocks; stump; shares; stock; counter for small plants
兜,2034,トウ ト,かぶと,,helmet; head piece
竃,,ソウ,かまど かま へっつい,,kitchen stove; furnace; oven; hearth
蒲,1887,ホ ボ フ ブ,がま かば かま,,bullrush; flag; cattail
釜,1761,フ,かま,,kettle; cauldron; iron pot
鎌,1587,レン ケン,かま,1,sickle; scythe; trick
噛,2399,コウ ゴウ,か.む か.じる,,chew; bite; gnaw
鴨,1797,オウ,かも あひる,,wild duck; easy mark
栢,,ハク ヒャク,かしわ,,oak
茅,1895,ボウ ミョウ,かや ちがや,1,miscanthus reed
萱,2217,ケン,かや かんぞう,,miscanthus reed
粥,2280,イク シュク ジュク,かゆ かい ひさ.ぐ,,rice gruel
刈,1738,ガイ カイ,か.る,1,reap; cut; clip; trim; prune
苅,2178,ガイ カイ,か.る,,cutting (grass)
瓦,1850,ガ,かわら ぐらむ,,tile; gram
乾,1453,カン ケン,かわ.く かわ.かす ほ.す ひ.る いぬい,2,drought; dry; dessicate; drink up; heaven; emperor
侃,,カン,つよ.い,1,strong; just; righteous; peace-loving
冠,1503,カン,かんむり,1,crown; best; peerless
寒,1456,カン,さむ.い,3,cold
刊,855,カン,,2,publish; carve; engrave
勘,1494,カン,,1,intuition; perception; check; compare; sixth sense
勧,1068,カン ケン,すす.める,1,persuade; recommend; advise; encourage; offer
巻,944,カン ケン,ま.く まき ま.き,2,scroll; volume; book; part; roll up; wind up; tie; coil; counter for texts (or book scrolls)
喚,1120,カン,わめ.く,1,yell; cry; call; scream; summon
堪,1953,カン タン,た.える たま.る こら.える こた.える,1,withstand; endure; support; resist
姦,,カン ケン,かん.する かしま.しい みだら,,wicked; mischief; seduce; rape; noisy
完,595,カン,,2,perfect; completion; end
官,230,カン,,2,bureaucrat; the government; organ
寛,1377,カン,くつろ.ぐ ひろ.い ゆる.やか,1,tolerant; leniency; generosity; relax; feel at home; be at ease; broadminded
